observation_id,user_id,taxon_id,scientific_name,common_name,sound_id,license_code,file_url,path
97281610,5058113,9083,Cardinalis cardinalis,Northern Cardinal,313225,cc-by-nc,https://static.inaturalist.org/sounds/313225.m4a?1633466521,audio/313225.m4a
97380600,2566366,9083,Cardinalis cardinalis,Northern Cardinal,313565,cc-by-nc,https://static.inaturalist.org/sounds/313565.wav?1633551433,audio/313565.wav
97438270,2619340,9083,Cardinalis cardinalis,Northern Cardinal,313752,cc-by-nc,https://static.inaturalist.org/sounds/313752.m4a?1633610287,audio/313752.m4a
97594846,5102492,9083,Cardinalis cardinalis,Northern Cardinal,314228,cc-by-nc,https://static.inaturalist.org/sounds/314228.m4a?1633734639,audio/314228.m4a
97600649,139364,9083,Cardinalis cardinalis,Northern Cardinal,314222,cc0,https://static.inaturalist.org/sounds/314222.m4a?1633733497,audio/314222.m4a
97612394,1448882,9083,Cardinalis cardinalis,Northern Cardinal,314275,cc-by-nc,https://static.inaturalist.org/sounds/314275.mp3?1633749380,audio/314275.mp3
97612395,1448882,9083,Cardinalis cardinalis,Northern Cardinal,314276,cc-by-nc,https://static.inaturalist.org/sounds/314276.mp3?1633749381,audio/314276.mp3
97612734,1448882,9083,Cardinalis cardinalis,Northern Cardinal,314281,cc-by-nc,https://static.inaturalist.org/sounds/314281.mp3?1633749860,audio/314281.mp3
97634137,3417926,9083,Cardinalis cardinalis,Northern Cardinal,314397,cc-by-nc,https://static.inaturalist.org/sounds/314397.wav?1633781066,audio/314397.wav
97946706,4734244,9083,Cardinalis cardinalis,Northern Cardinal,315450,cc-by-nc,https://static.inaturalist.org/sounds/315450.m4a?1633990819,audio/315450.m4a
98164845,2545196,9083,Cardinalis cardinalis,Northern Cardinal,316202,cc-by,https://static.inaturalist.org/sounds/316202.wav?1634179686,audio/316202.wav
98201539,5026063,9083,Cardinalis cardinalis,Northern Cardinal,316335,cc-by-nc,https://static.inaturalist.org/sounds/316335.m4a?1634226773,audio/316335.m4a
98272471,3069962,9083,Cardinalis cardinalis,Northern Cardinal,316605,cc-by-nc,https://static.inaturalist.org/sounds/316605.m4a?1634302885,audio/316605.m4a
98432497,5036739,9083,Cardinalis cardinalis,Northern Cardinal,317198,cc-by-nc,https://static.inaturalist.org/sounds/317198.m4a?1634426070,audio/317198.m4a
98432593,5030231,9083,Cardinalis cardinalis,Northern Cardinal,317200,cc-by-nc,https://static.inaturalist.org/sounds/317200.m4a?1634426124,audio/317200.m4a
98437875,975233,9083,Cardinalis cardinalis,Northern Cardinal,317221,cc-by-nc,https://static.inaturalist.org/sounds/317221.wav?1634429741,audio/317221.wav
98546812,3675592,9083,Cardinalis cardinalis,Northern Cardinal,317626,cc-by-nc,https://static.inaturalist.org/sounds/317626.wav?1634509231,audio/317626.wav
98714017,5004284,9083,Cardinalis cardinalis,Northern Cardinal,318273,cc-by-nc,https://static.inaturalist.org/sounds/318273.m4a?1634662414,audio/318273.m4a
98745970,209231,9083,Cardinalis cardinalis,Northern Cardinal,318442,cc-by-nc,https://static.inaturalist.org/sounds/318442.m4a?1634685284,audio/318442.m4a
98793548,5025156,9083,Cardinalis cardinalis,Northern Cardinal,318644,cc-by-nc,https://static.inaturalist.org/sounds/318644.m4a?1634741120,audio/318644.m4a
98810480,3081415,9083,Cardinalis cardinalis,Northern Cardinal,318689,cc-by,https://static.inaturalist.org/sounds/318689.m4a?1634754148,audio/318689.m4a
98872796,5037269,9083,Cardinalis cardinalis,Northern Cardinal,318971,cc-by-nc,https://static.inaturalist.org/sounds/318971.m4a?1634817297,audio/318971.m4a
98872951,5037269,9083,Cardinalis cardinalis,Northern Cardinal,318972,cc-by-nc,https://static.inaturalist.org/sounds/318972.m4a?1634817446,audio/318972.m4a
